Seconds,Nanoseconds,Commit_Count,Identity_Count,Account_Count,Info_Count,Buffer_Occupancy_Pct,CPU_Pct
1782766800,148565795,40,0,1,0,0.00,1.25
1782766801,148566103,70,0,0,0,0.00,1.26
1782766802,148563911,57,0,0,0,0.00,1.26
1782766803,148565416,57,0,0,0,0.00,1.26
1782766804,148705256,71,0,0,0,0.00,2.01
1782766805,148568272,128,1,1,0,0.00,2.27
1782766806,148574100,67,1,1,0,0.00,1.26
1782766807,148572898,84,0,0,0,0.00,1.26
1782766808,148567060,97,0,0,0,0.00,2.01
1782766809,148565805,102,0,0,0,0.00,2.52
1782766810,148973040,96,1,1,0,0.00,1.77
1782766811,148568556,98,0,0,0,0.00,3.26
1782766812,148670062,96,0,0,0,0.00,1.76
1782766813,148571098,86,0,0,0,0.00,1.76
1782766814,148573281,121,0,0,0,0.00,1.77
1782766815,148575464,89,1,1,0,0.00,2.01
1782766816,148529209,78,0,0,0,0.00,1.02
1782766817,148570871,77,0,0,0,0.00,6.09
1782766818,148568158,65,1,1,0,0.00,1.51
1782766819,148564768,90,0,0,0,0.00,2.27
1782766820,148566899,88,0,0,0,0.00,2.02
1782766821,148567832,47,0,0,0,0.00,1.01
1782766822,148566160,80,0,0,0,0.00,1.76
1782766823,148565687,82,1,1,0,0.00,2.02
1782766824,148567245,88,2,2,0,0.00,1.52
1782766825,148567136,76,0,0,0,0.00,1.76
1782766826,148564735,82,0,1,0,0.00,1.02
1782766827,148568376,74,0,1,0,0.00,1.27
1782766828,148555038,73,2,2,0,0.00,1.02
1782766829,148574200,69,0,0,0,0.00,1.27
1782766830,148566487,76,0,0,0,0.00,1.26
1782766831,148569555,92,0,0,0,0.00,1.52
1782766832,148566217,59,0,0,0,0.00,1.01
1782766833,148567306,78,0,0,0,0.00,2.50
1782766834,148567250,77,0,0,0,0.00,1.27
1782766835,148572818,54,0,0,0,0.00,1.26
1782766836,148566407,54,1,2,0,0.00,1.01
1782766837,148564631,61,0,0,0,0.00,1.01
1782766838,148566606,60,0,0,0,0.00,1.26
1782766839,148568372,60,0,0,0,0.00,1.01
1782766840,148565919,65,0,0,0,0.00,1.01
1782766841,148572842,109,0,0,0,0.00,2.26
1782766842,148572472,73,0,0,0,0.00,2.25
1782766843,148599967,66,0,0,0,0.00,1.01
1782766844,148571213,71,0,0,0,0.00,1.52
1782766845,148568343,54,0,0,0,0.00,1.26
1782766846,148567349,67,2,2,0,0.00,1.26
1782766847,148570834,59,0,1,0,0.00,1.51
1782766848,148570308,58,0,0,0,0.00,2.00
1782766849,148536345,60,0,0,0,0.00,0.51
1782766850,148573580,59,0,0,0,0.00,1.01
1782766851,148567065,66,0,0,0,0.00,1.26
1782766852,148538883,67,0,0,0,0.00,1.01
1782766853,148574608,68,0,0,0,0.00,1.26
1782766854,148572207,78,1,1,0,0.00,1.77
1782766855,148574859,54,0,0,0,0.00,1.26
1782766856,148565687,54,0,0,0,0.00,1.26
1782766857,148566151,39,0,0,0,0.00,1.01
1782766858,148566042,57,0,0,0,0.00,1.26
1782766859,148569683,56,0,0,0,0.00,1.75
1782766860,148604522,52,0,0,0,0.00,1.01
1782766861,148569674,59,1,1,0,0.00,0.76
1782766862,148570086,56,0,0,0,0.00,1.26
1782766863,148564612,40,0,0,0,0.00,1.01
1782766864,148563149,41,0,1,0,0.00,1.01
1782766865,148565749,81,0,0,0,0.00,2.02
1782766866,148569286,57,1,1,0,0.00,1.26
1782766867,148568031,60,0,0,0,0.00,1.75
1782766868,148567401,58,0,0,0,0.00,1.26
1782766869,148605105,86,0,0,0,0.00,1.76
1782766870,148568329,52,0,0,0,0.00,1.01
1782766871,148563377,69,0,0,0,0.00,1.26
1782766872,148566236,47,0,0,0,0.00,1.01
1782766873,148569305,58,1,1,0,0.00,1.50
1782766874,148570654,60,0,0,0,0.00,0.76
1782766875,148563774,66,0,1,0,0.00,1.01
1782766876,148573926,63,0,0,0,0.00,1.51
1782766877,148569025,73,1,1,0,0.00,1.02
1782766878,148567458,56,0,0,0,0.00,1.50
1782766879,148567922,67,0,0,0,0.00,1.51
1782766880,148566459,55,1,2,0,0.00,1.76
1782766881,148568121,53,1,1,0,0.00,1.26
1782766882,148529991,51,0,0,0,0.00,1.26
1782766883,148564205,61,0,0,0,0.00,1.01
1782766884,148568211,60,0,0,0,0.00,0.76
1782766885,148567008,54,1,1,0,0.00,1.25
1782766886,148559712,58,1,1,0,0.00,1.51
1782766887,148568561,59,0,0,0,0.00,1.01
1782766888,148573712,48,0,0,0,0.00,1.01
1782766889,148563864,69,0,1,0,0.00,2.01
1782766890,148563182,60,0,0,0,0.00,1.01
1782766891,148567552,39,0,0,0,0.00,1.26
1782766892,148600464,47,0,0,0,0.00,1.01
